,Dia,Hora,Sport,Tournament,Fitxure,Location
0,18/12/2024,21:30,Football (M),La Liga,ESP v VAL,Barcelona
1,30/11/2024,14:00,Football (M),La Liga,FCB v LPA,Barcelona
2,30/11/2024,18:30,Football (M),La Liga,ESP v CEV,Barcelona
3,07/12/2024,21:00,Football (M),La Liga,GIR v RMD,Girona
4,14/12/2024,14:00,Football (M),La Liga,ESP v OSA,Barcelona
5,15/12/2024,21:00,Football (M),La Liga,FCB v LEG,Barcelona
6,20/12/2024,21:00,Football (M),La Liga,GIR v VAD,Girona
7,21/12/2024,21:00,Football (M),La Liga,FCB v ATM,Barcelona
8,11/01/2025,,Football (M),La Liga,ESP v LEG,Barcelona
9,19/01/2025,,Football (M),La Liga,ESP v VAD,Barcelona
10,19/01/2025,,Football (M),La Liga,GIR v SEV,Girona
11,26/01/2025,,Football (M),La Liga,FCB v VAL,Barcelona
12,02/02/2025,,Football (M),La Liga,FCB v ATH,Barcelona
13,02/02/2025,,Football (M),La Liga,ESP v RMD,Barcelona
14,02/02/2025,,Football (M),La Liga,GIR v LPA,Girona
15,16/02/2025,,Football (M),La Liga,FCB v RAY,Barcelona
16,16/02/2025,,Football (M),La Liga,ESP v AHT,Barcelona
17,16/02/2025,,Football (M),La Liga,GIR v GET,Girona
18,02/03/2025,,Football (M),La Liga,FCB v RSO,Barcelona
19,02/03/2025,,Football (M),La Liga,GIR v CEV,Girona
20,09/03/2025,,Football (M),La Liga,FCB v OSA,Barcelona
21,09/03/2025,,Football (M),La Liga,ESP v GIR,Barcelona
22,16/03/2025,,Football (M),La Liga,GIR v VAL,Girona
23,30/03/2025,,Football (M),La Liga,FCB v GIR,Barcelona
24,30/03/2025,,Football (M),La Liga,ESP v ATM,Barcelona
25,06/04/2025,,Football (M),La Liga,FCB v BET,Barcelona
26,06/04/2025,,Football (M),La Liga,GIR v ATH,Girona
27,20/04/2025,,Football (M),La Liga,FCB v CEV,Barcelona
28,20/04/2025,,Football (M),La Liga,ESP v GET,Barcelona
29,20/04/2025,,Football (M),La Liga,GIR v BET,Girona
30,23/04/2025,,Football (M),La Liga,FCB v MLL,Barcelona
31,04/05/2025,,Football (M),La Liga,ESP v BET,Barcelona
32,04/05/2025,,Football (M),La Liga,GIR v MLL,Girona
33,11/05/2025,,Football (M),La Liga,FCB v RMD,Barcelona
34,11/05/2025,,Football (M),La Liga,GIR v VIL,Girona
35,14/05/2025,,Football (M),La Liga,ESP v FCB,Barcelona
36,18/05/2025,,Football (M),La Liga,FCB v VIL,Barcelona
37,25/05/2025,,Football (M),La Liga,ESP v LPA,Barcelona
38,25/05/2025,,Football (M),La Liga,GIR v ATM,Girona
